Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-01 09:30:00-04:00,263.7349853515625,263.8399963378906,261.6300048828125,262.8629150390625,6855524,0.0,0.0
2025-04-01 09:31:00-04:00,262.95001220703125,266.8800048828125,262.8301086425781,266.2200012207031,1256662,0.0,0.0
2025-04-01 09:32:00-04:00,266.2200012207031,268.1199951171875,265.69000244140625,267.20159912109375,1192964,0.0,0.0
2025-04-01 09:33:00-04:00,267.20001220703125,267.84991455078125,264.3900146484375,265.0,868417,0.0,0.0
2025-04-01 09:34:00-04:00,265.0232849121094,265.4100036621094,263.3599853515625,263.9200134277344,752799,0.0,0.0
2025-04-01 09:35:00-04:00,264.0474853515625,264.0474853515625,260.3699951171875,260.5799865722656,1114611,0.0,0.0
2025-04-01 09:36:00-04:00,260.5299987792969,262.06988525390625,260.5299987792969,261.80999755859375,936034,0.0,0.0
2025-04-01 09:37:00-04:00,259.6617126464844,261.8699951171875,259.25,259.6617126464844,1008173,0.0,0.0
2025-04-01 09:38:00-04:00,259.7200012207031,261.6000061035156,259.6600036621094,260.6780090332031,667201,0.0,0.0
2025-04-01 09:39:00-04:00,260.8299865722656,262.73968505859375,260.6018981933594,262.3800048828125,667693,0.0,0.0
2025-04-01 09:40:00-04:00,262.3800048828125,263.5899963378906,261.70001220703125,263.114990234375,637449,0.0,0.0
2025-04-01 09:41:00-04:00,263.04998779296875,264.79998779296875,263.01580810546875,264.614990234375,809324,0.0,0.0
2025-04-01 09:42:00-04:00,264.739990234375,264.7900085449219,263.1488037109375,263.4299011230469,657768,0.0,0.0
2025-04-01 09:43:00-04:00,263.3533935546875,263.760009765625,262.2699890136719,263.3981018066406,488537,0.0,0.0
2025-04-01 09:44:00-04:00,263.38958740234375,265.739990234375,263.38958740234375,264.7550048828125,729108,0.0,0.0
2025-04-01 09:45:00-04:00,264.7550048828125,265.510009765625,264.1600036621094,264.81500244140625,516732,0.0,0.0
2025-04-01 09:46:00-04:00,264.8591003417969,265.139892578125,264.04010009765625,264.05999755859375,385735,0.0,0.0
2025-04-01 09:47:00-04:00,264.04998779296875,265.19000244140625,264.0299987792969,264.79998779296875,401109,0.0,0.0
2025-04-01 09:48:00-04:00,264.8900146484375,266.4700012207031,264.69000244140625,266.0799865722656,729054,0.0,0.0
2025-04-01 09:49:00-04:00,266.1437072753906,266.2699890136719,265.20001220703125,265.2300109863281,405430,0.0,0.0
2025-04-01 09:50:00-04:00,265.2309875488281,265.81988525390625,264.3299865722656,265.0494079589844,428010,0.0,0.0
2025-04-01 09:51:00-04:00,264.9800109863281,265.45361328125,264.4100036621094,264.7182922363281,298587,0.0,0.0
2025-04-01 09:52:00-04:00,264.8299865722656,265.25,263.69000244140625,263.7550048828125,421712,0.0,0.0
2025-04-01 09:53:00-04:00,263.7229919433594,263.92999267578125,262.79998779296875,263.7200012207031,459845,0.0,0.0
2025-04-01 09:54:00-04:00,263.67999267578125,264.3587951660156,263.07000732421875,263.2699890136719,390138,0.0,0.0
2025-04-01 09:55:00-04:00,263.2900085449219,263.8699035644531,262.3219909667969,262.76239013671875,458464,0.0,0.0
2025-04-01 09:56:00-04:00,262.7690124511719,263.4198913574219,262.16009521484375,262.885009765625,376471,0.0,0.0
2025-04-01 09:57:00-04:00,263.5799865722656,263.64990234375,262.5150146484375,263.5799865722656,381723,0.0,0.0
2025-04-01 09:58:00-04:00,263.6400146484375,264.46990966796875,263.1199951171875,264.17999267578125,369907,0.0,0.0
2025-04-01 09:59:00-04:00,263.79058837890625,264.8999938964844,263.7799987792969,263.82000732421875,412016,0.0,0.0
2025-04-01 10:00:00-04:00,263.739990234375,264.7698974609375,263.0,263.6549987792969,453770,0.0,0.0
2025-04-01 10:01:00-04:00,263.57000732421875,263.8999938964844,261.66009521484375,261.69500732421875,534699,0.0,0.0
2025-04-01 10:02:00-04:00,261.70001220703125,262.9200134277344,261.1099853515625,262.3900146484375,584683,0.0,0.0
2025-04-01 10:03:00-04:00,262.3399963378906,264.0972900390625,261.8699951171875,263.4035949707031,474373,0.0,0.0
2025-04-01 10:04:00-04:00,263.3599853515625,263.5494079589844,261.8800048828125,262.04998779296875,383428,0.0,0.0
2025-04-01 10:05:00-04:00,262.635009765625,263.1499938964844,261.75,262.739990234375,306554,0.0,0.0
2025-04-01 10:06:00-04:00,262.79998779296875,262.95050048828125,262.07000732421875,262.2699890136719,215191,0.0,0.0
2025-04-01 10:07:00-04:00,262.1199951171875,262.6799011230469,261.5199890136719,262.3450012207031,434219,0.0,0.0
2025-04-01 10:08:00-04:00,262.2940979003906,262.99169921875,261.95001220703125,262.2940979003906,302422,0.0,0.0
2025-04-01 10:09:00-04:00,262.2699890136719,263.45001220703125,262.1000061035156,263.2200012207031,388053,0.0,0.0
2025-04-01 10:10:00-04:00,263.2900085449219,263.71990966796875,262.3800048828125,262.7699890136719,375145,0.0,0.0
2025-04-01 10:11:00-04:00,262.7074890136719,262.79998779296875,261.5010070800781,261.9811096191406,423765,0.0,0.0
2025-04-01 10:12:00-04:00,261.9750061035156,262.3699951171875,261.6401062011719,262.07958984375,283545,0.0,0.0
2025-04-01 10:13:00-04:00,262.1300048828125,262.2799987792969,261.3800048828125,261.5299987792969,343148,0.0,0.0
2025-04-01 10:14:00-04:00,261.42999267578125,262.0783996582031,261.2300109863281,261.7250061035156,300165,0.0,0.0
2025-04-01 10:15:00-04:00,261.79998779296875,263.17999267578125,261.55010986328125,261.55010986328125,471304,0.0,0.0
2025-04-01 10:16:00-04:00,261.614990234375,262.8299865722656,261.54998779296875,262.57501220703125,251081,0.0,0.0
2025-04-01 10:17:00-04:00,262.57501220703125,263.0299072265625,262.2799987792969,262.5,214321,0.0,0.0
2025-04-01 10:18:00-04:00,262.5599060058594,263.5799865722656,262.4100036621094,262.739990234375,381746,0.0,0.0
2025-04-01 10:19:00-04:00,262.7200012207031,263.0425109863281,262.3299865722656,262.55499267578125,228380,0.0,0.0
2025-04-01 10:20:00-04:00,262.5,263.2900085449219,262.2101135253906,262.3599853515625,272672,0.0,0.0
2025-04-01 10:21:00-04:00,262.30999755859375,263.08050537109375,261.7200927734375,263.08050537109375,368714,0.0,0.0
2025-04-01 10:22:00-04:00,263.08880615234375,264.6600036621094,262.9700012207031,264.2179870605469,658574,0.0,0.0
2025-04-01 10:23:00-04:00,264.19500732421875,264.54998779296875,263.8299865722656,263.9599914550781,370087,0.0,0.0
2025-04-01 10:24:00-04:00,263.9599914550781,265.55999755859375,263.9006042480469,265.3800048828125,725685,0.0,0.0
2025-04-01 10:25:00-04:00,265.43389892578125,265.9599914550781,265.05999755859375,265.77349853515625,467368,0.0,0.0
2025-04-01 10:26:00-04:00,265.7008056640625,265.7593994140625,264.9599914550781,265.3399963378906,387327,0.0,0.0
2025-04-01 10:27:00-04:00,265.3999938964844,265.6000061035156,264.6310119628906,264.9399108886719,351664,0.0,0.0
2025-04-01 10:28:00-04:00,264.885009765625,266.4800109863281,264.6099853515625,266.42999267578125,540663,0.0,0.0
2025-04-01 10:29:00-04:00,265.989990234375,266.510009765625,265.80999755859375,265.989990234375,394216,0.0,0.0
2025-04-01 10:30:00-04:00,265.8900146484375,267.19000244140625,265.70001220703125,266.8629150390625,637305,0.0,0.0
2025-04-01 10:31:00-04:00,266.8299865722656,267.09759521484375,266.29998779296875,266.37908935546875,445596,0.0,0.0
2025-04-01 10:32:00-04:00,266.4150085449219,267.1400146484375,266.37908935546875,266.864990234375,397138,0.0,0.0
2025-04-01 10:33:00-04:00,266.8699951171875,267.3999938964844,266.5267028808594,266.55999755859375,461922,0.0,0.0
2025-04-01 10:34:00-04:00,266.5899963378906,266.92889404296875,266.25,266.7309875488281,324814,0.0,0.0
2025-04-01 10:35:00-04:00,266.7898864746094,267.139892578125,266.5199890136719,266.79998779296875,277424,0.0,0.0
2025-04-01 10:36:00-04:00,266.80999755859375,268.54998779296875,266.7099914550781,268.1499938964844,705372,0.0,0.0
2025-04-01 10:37:00-04:00,268.17449951171875,268.6300048828125,268.0400085449219,268.489990234375,404913,0.0,0.0
2025-04-01 10:38:00-04:00,268.4949951171875,269.69940185546875,268.230712890625,269.4200134277344,723915,0.0,0.0
2025-04-01 10:39:00-04:00,269.44000244140625,270.20001220703125,269.25,269.3550109863281,813451,0.0,0.0
